incident_number,incident_types,reported_date,nearest_populated_centre,province,company,status,latitude,longitude,approx_vol_released,substance,release_type,significant,year,occurrence_date_and_time,discovered_date_and_time,detailed_what_happened,what_happened_category,detailed_why_it_happened,why_it_happened_category,duration_of_interruption_of_pipeline_operations,pipeline_or_facility_type,activity_being_performed_at_time_of_incident,how_the_incident_was_discovered,closed_date,pipeline_or_facility_equipment_involved,rupture,incident_type,released_substance_type,released_volume_m3,pipe_body_release,residual_effects_on_the_environment,source_of_explosion,source_of_fire,activity_at_time_of_fatality,number_of_fatalities,type_of_injury,number_of_individuals_injured,workdays_lost,work_restricted_by_injury,conditions_that_resulted_in_the_operation_beyond_limits,conditions_that_resulted_in_adverse_effects_on_the_environment,number_of_people_evacuated,regulation,pipeline_name,pipeline_outside_diameter_nps,pipeline_length_km,substance_carried,facility_name,facility_type,facility_latitude,facility_longitude,country,affects_company_property,off_company_property,affects_pipeline_right_of_way,affects_off_pipeline_right_of_way,land_use,population_density,kilometre_post,emergency_level,investigation_type,was_neb_staff_deployed,related_neb_event_number,equipment_or_component_involved,design_standard,nominal_pipe_size,material,material_grade,schedule,design_wall_thickness_mm,custom_design_wall_thickness_mm,actual_wall_thickness_mm,licensed_maximum_operating_pressure_k_pa,restricted_operating_pressure_k_pa,actual_operating_pressure_at_time_of_failure_k_pa,designed_depth_of_cover_m,actual_depth_of_cover_m,year_of_manufacture,year_of_installation,year_when_put_into_service,most_recent_cathodic_protection_reading_at_incident_site_m_v_vs_cu_cu_so4,weld_type,seam_type,seam_joining_method,seam_clock_position,coating_location,coating_type,coating_condition,application_method,year_when_the_coating_was_applied,insulation_installed,repair_type,repair_date,equipment_or_component_has_never_been_inspected,most_recent_inspection_date_for_the_failed_equipment_or_component,type_of_most_recent_inspection,most_recent_inspection_part_of_the_routine_inspection_program,no_maintenance_done_on_this_equipment_or_component,date_of_the_most_recent_maintenance_work_for_the_failed_equipment_or_component,most_recent_maintenance_type,most_recent_maintenance_work_part_of_the_routine_maintenance_program,reported_year,reported_month,reported_day
INC2019-068,Operation Beyond Design Limits,2019-06-04,Gretna,Manitoba,Enbridge Pipelines Inc.,Initially Submitted,49.019628,-97.571562,0,Not Applicable,Not Applicable,No,2019,6/3/2019 8:56,6/3/2019 8:56,NA,To be determined,NA,To be determined,No pipeline interruption,Transmission,Operation,SCADA,NA,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Overpressure - Maximum Operating Pressure,NA,0,OPR,Line 1,"508.00000000, 864.00000000",1255.999121,Crude Oil,NA,NA,NA,NA,Canada,Yes,No,No,No,Developed Land - Industrial,More than 10 but fewer than 46 dwelling units per km,NA,Not Emergency,Inactive Investigation Level in Error,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,6,4
INC2019-065,Fire,2019-05-30,Hasler Flats,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Initially Submitted,55.56909171,-121.9446616,0,Not Applicable,Not Applicable,No,2019,5/27/2019 2:06,5/27/2019 2:06,NA,To be determined,NA,To be determined,No pipeline interruption,Processing,Operation,3rd Party / Other Company,NA,Yes,No,Fire,NA,NA,NA,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,PPR,NA,NA,NA,NA,PINE RIVER GAS PLANT (PRGP),NA,55.56909171,-121.9446616,Canada,No,No,Yes,No,Shrub Land,10 or fewer dwelling units per km,KP 1.5,Not Emergency,Inactive Investigation Level in Error,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,5,30
INC2019-064,Operation Beyond Design Limits,2019-05-29,Fort Simpson,Northwest Territories,Enbridge Pipelines Inc.,Initially Submitted,61.375,-120.877,0,Not Applicable,Not Applicable,No,2019,5/28/2019 4:07,5/28/2019 4:07,NA,To be determined,NA,To be determined,No pipeline interruption,Transmission,Operation,SCADA,NA,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Overpressure - Maximum Operating Pressure,NA,0,OPR,NA,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Developed Land - Industrial,More than 10 but fewer than 46 dwelling units per km,NA,Not Emergency,Inactive Investigation Level in Error,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,5,29
INC2019-062,"Fire, Release of Substance",2019-05-27,Hanna,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,51.91564,-111.74474,1,Natural Gas - Sweet,Gas,No,2019,5/27/2019 7:00,5/27/2019 9:00,NA,To be determined,NA,To be determined,No pipeline interruption,Transmission,Operation,SCADA,NA,Yes,No,"Fire, Release of Substance",Natural Gas - Sweet,1,No,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,BLOOR LAKE LATERAL - NPS 6,168.3,7.07899091,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,Yes,No,Vegetative Barren,10 or fewer dwelling units per km,NA,Not Emergency,Inactive Investigation Level in Error,No,INC2019-066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,5,27
INC2019-051,Operation Beyond Design Limits,2019-05-14,Trout Creek,Ontario,TransCanada PipeLines Limited,Submitted,45.93232,-79.37498,0,Not Applicable,Not Applicable,No,2019,NA,5/13/2019 2:23,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Substandard Conditions, Weather Related, Heavy rains or floods","External Interference, Natural Force Damage","External Interference, Natural or Environmental Forces",Natural or Environmental Forces,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),NA,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Exposure in a Waterbody,NA,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,NA,NA,NA,NA,Canada,No,Yes,Yes,No,Forests,10 or fewer dwelling units per km,MLV 118 + 3.86 km,Not Emergency,Inactive Investigation Level in Error,No,NA,"Pipeline, Pipe, Body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,5,14
INC2019-049,Release of Substance,2019-05-02,15000,New Brunswick,Twin Rivers Paper Company Inc.,Submitted,47.36,-68.33,236,Water,Miscellaneous,No,2019,5/1/2019 4:57,5/1/2019 5:23,"Damage or deterioration mechanism, Structural Degradation, Corrosion Fatigue",Defect and Deterioration,"External Interference, Third Party Actions",To be determined,Short-term interruption,Processing,Operation,3rd Party / Other Company,NA,Yes,Yes,Release of Substance,Water,236,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,PPR,GROUNDWOOD WHITE WATER RETURN,508,1.91159091,White Water,NA,NA,NA,NA,Canada,No,Yes,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,NA,Not Emergency,Inactive Investigation Level in Error,No,NA,"Pipeline, Pipe, Body",NA,NPS 20,Composite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Replacement,5/1/2019,Yes,NA,NA,No,No,5/1/2019,Replacement,No,2019,5,2
INC2019-047,Release of Substance,2019-04-29,Swift Current,Saskatchewan,TransCanada PipeLines Limited,Initially Submitted,49.93069,-108.94167,10000,Natural Gas - Sweet,Gas,No,2019,4/28/2019 10:30,4/28/2019 10:30,"Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate assessment of operational readiness",Engineering and Planning,No pipeline interruption,Transmission,Operation,SCADA,NA,Yes,No,Release of Substance,Natural Gas - Sweet,10000,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,LINE 100-2,"508.00000000, 609.60000000, 762.00000000, 863.60000000, 914.40000000",3393.42642,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,No,No,Tundra / Native Prairie / Parks,10 or fewer dwelling units per km,0,Not Emergency,Inactive Investigation Level in Error,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,4,29
INC2019-046,Release of Substance,2019-04-26,15000,New Brunswick,Twin Rivers Paper Company Inc.,Submitted,47.36,-68.33,0.3,Water,Miscellaneous,No,2019,4/26/2019 4:45,4/26/2019 4:45,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,No pipeline interruption,Distribution,Operation,Public,NA,Yes,No,Release of Substance,Water,0.3,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,PPR,BLEACHED WHITE WATER RETURN,508,1.7214524,White Water,NA,Meter,NA,NA,Canada,No,No,Yes,No,Developed Land - Industrial,More than 10 but fewer than 46 dwelling units per km,NA,Not Emergency,Inactive Investigation Level in Error,No,NA,"Pipeline, Valve, Pressure relief, Other (please explain)",NA,NPS 20,Stainless Steel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Replacement,4/26/2019,No,2/28/2019,Visual,No,No,2/28/2019,Replacement,No,2019,4,26
INC2019-044,Operation Beyond Design Limits,2019-04-26,Hythe,Alberta,Veresen Energy Pipeline Inc.,Submitted,55.460761,-119.982561,0,Not Applicable,Not Applicable,No,2019,NA,4/25/2019 4:00,"Damage or deterioration mechanism, Geotechnical Failure, Landslide",Natural Force Damage,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,No pipeline interruption,Gathering,Operation,Employee / Contractor (Onsite),NA,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Slope Movements,NA,0,OPR,Mid-Tupper Sour,219.1,3.6334712,Natural Gas Sour,NA,NA,NA,NA,Canada,No,No,Yes,No,Developed Land - Industrial,10 or fewer dwelling units per km,NA,Not Emergency,Inactive Investigation Level in Error,No,NA,"Pipeline, Auxiliary device(s) (please explain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2019,4,26
INC2019-040,Explosion,2019-04-16,Town of Japser,Alberta,Trans Mountain Pipeline ULC,Submitted,52.93819303,-118.043438,0,Not Applicable,Not Applicable,No,2019,4/15/2019 8:20,4/15/2019 8:20,"Substandard Acts, Failure to check or monitor",Incorrect Operation,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,No pipeline interruption,Distribution,Maintenance,Employee / Contractor (Onsite),NA,Yes,No,Explosion,NA,NA,NA,No,Battery Explosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,MAINLINE LOOP: JASPER SECTION,762,80.40097879,Crude Oil,JASPER,NA,52.93819303,-118.043438,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,NA,Not Emergency,Inactive Investigation Level in Error,No,NA,"Station/Facility, Power Generation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,9/5/2018,Visual,Yes,Yes,NA,NA,No,2019,4,16
